,07.02.2025 19:33:35,08.02.2025 03:24:59,09.02.2025 03:27:00,10.02.2025 03:28:56,11.02.2025 03:27:16,12.02.2025 03:26:18,13.02.2025 03:27:23,14.02.2025 03:27:07,15.02.2025 03:27:05,16.02.2025 03:29:06,17.02.2025 03:29:47,18.02.2025 03:26:15,19.02.2025 03:31:21,20.02.2025 03:27:56,21.02.2025 03:27:57,22.02.2025 03:26:03,23.02.2025 03:28:30,24.02.2025 03:30:26,25.02.2025 03:30:55,26.02.2025 03:31:01,27.02.2025 03:30:34,28.02.2025 03:30:34
26.04 - 03.05,,,,,,,,,,6031,6031,5930,5930,6016,6016,,,,,,,6066
29.04 - 06.05,,,,,,,,,,5449,5449,5449,5449,,5449,,,,,,,5499
03.05 - 10.05,,,,,,,,,,5225,5225,5225,5225,5225,5225,,,,,,,5275
06.05 - 13.05,,,,,,,,,,5154,5154,5154,5154,5154,5154,,,,,,,5204
10.05 - 20.05,4794,4794,4794,4794,4794,4794,4945,4945,4945,,,,,,,4919,4919,4919,4919,4919,4969,
10.05 - 17.05,,,,,,,,,,5507,5507,5507,5507,,5592,,,,,,,5769
13.05 - 20.05,,,,,,,,,,5364,5364,5364,5364,,5364,,,,,,,5716
17.05 - 24.05,,,,,,,,,,5227,5227,5227,5227,5227,5186,,,,,,,5519
20.05 - 27.05,,,,,,,,,,6293,6293,6293,6293,,6293,,,,,,,6679
24.05 - 31.05,,,,,,,,,,6383,6383,6383,6557,6557,6557,,,,,,,6799
27.05 - 03.06,,,,,,,,,,6736,6736,6736,6736,6736,6736,,,,,,,6122
31.05 - 07.06,,,,,,,,,,6044,6044,6044,6044,,6044,,,,,,,6396
03.06 - 10.06,,,,,,,,,,6626,6626,6626,6626,,6626,,,,,,,6979
07.06 - 14.06,,,,,,,,,,6846,6846,6846,6846,,6726,,,,,,,7081
10.06 - 17.06,,,,,,,,,,6464,6464,6464,6464,6464,6464,,,,,,,6804
14.06 - 21.06,,,,,,,,,,6312,6312,6312,6312,6312,6312,,,,,,,6655
17.06 - 24.06,,,,,,,,,,6549,6549,6549,6549,,6549,,,,,,,6895
21.06 - 01.07,8778,8778,8778,8778,8778,8778,8726,8726,8726,,,,,,,8931,8931,8931,8931,8931,8981,
21.06 - 28.06,,,,,,,,,,7119,7119,7166,7166,7166,7166,,,,,,,7520
24.06 - 01.07,,,,,,,,,,7191,7191,7191,7191,,7191,,,,,,,7579
28.06 - 05.07,,,,,,,,,,7909,7909,7909,7909,7909,7909,,,,,,,8641
01.07 - 08.07,,,,,,,,,,8680,8680,8680,8680,8680,8680,,,,,,,9039
05.07 - 12.07,,,,,,,,,,8243,8243,8243,8243,8243,8243,,,,,,,8884
08.07 - 15.07,,,,,,,,,,7620,7620,7620,7712,7712,7712,,,,,,,7978
12.07 - 19.07,,,,,,,,,,8219,8219,8219,8219,8359,8359,,,,,,,8841
15.07 - 22.07,,,,,,,,,,8362,8362,8362,8362,,8362,,,,,,,8746
19.07 - 26.07,,,,,,,,,,8292,8292,8170,8170,8170,8170,,,,,,,8530
22.07 - 29.07,,,,,,,,,,8235,8235,8235,8235,,8235,,,,,,,8694
26.07 - 05.08,9501,9501,9501,9501,9501,9501,9501,9501,9501,,,,,,,,9697,9697,9697,9697,9747,
26.07 - 02.08,,,,,,,,,,8015,8015,8015,8015,8015,8015,,,,,,,8454
29.07 - 05.08,,,,,,,,,,7913,7913,7913,7913,,7913,,,,,,,8318
02.08 - 09.08,,,,,,,,,,8125,8125,8125,8125,8125,8125,,,,,,,8532
05.08 - 12.08,,,,,,,,,,9048,9048,9048,9048,,9048,,,,,,,9408
09.08 - 16.08,,,,,,,,,,7927,7927,7927,7927,7927,7927,,,,,,,8427
12.08 - 19.08,,,,,,,,,,8663,8663,8663,8663,8663,8663,,,,,,,9022
16.08 - 23.08,,,,,,,,,,7556,7556,7556,7556,7556,7556,,,,,,,7915
19.08 - 26.08,,,,,,,,,,7915,7915,7915,7915,7915,7915,,,,,,,8318
23.08 - 30.08,,,,,,,,,,7307,7307,7307,7307,7307,7307,,,,,,,7660
26.08 - 02.09,,,,,,,,,,6788,6788,6788,6788,6788,6788,,,,,,,7248
30.08 - 06.09,,,,,,,,,,6622,6622,6622,6622,6622,6622,,,,,,,7019
02.09 - 09.09,,,,,,,,,,6901,6901,6901,6901,,6901,,,,,,,7254
06.09 - 16.09,9535,9535,9535,9535,9957,9957,9957,9957,9957,,,,,,,10160,10160,10160,10160,10160,10210,
06.09 - 13.09,,,,,,,,,,6536,6536,6536,6536,6643,6643,,,,,,,6813
09.09 - 16.09,,,,,,,,,,7567,7567,7567,7567,,7130,,,,,,,7211
13.09 - 20.09,,,,,,,,,,,,,8026,8026,8026,,,,,,,8076
23.09 - 30.09,,,,,,,,,,7120,7120,7120,7120,7120,7120,,,,,,,7170
27.09 - 04.10,,,,,,,,,,6027,6027,6027,6027,6027,6027,,,,,,,6077
30.09 - 07.10,,,,,,,,,,5427,5427,5427,5427,,5356,,,,,,,5406
